kmera,kamera
dijangka,dalam
dimuatkan,dimasukan
kapasiti,kapasitas
bateri,baterai
tak,tidak
siri,seri
dgn,dengan
konklusi,kesimpulan
hayat,tahan
sebab,karena
ni,ini
merecord,merekam
pala,kepala
batrai,baterai
camera,kamera
jebol,turun
batre,baterai
bttre,baterai
battery,baterai
blkg,belakang
skrin,layar
kcuali,kecuali
like,suka
bodo,bodoh
sia,kamu
gila,sekali
drop,turun
geram,marah
fast,cepat
charging,charger
dibekalkan,dimasukan
amatlah,sekali
slow,lambat
cakep,bagus
kali,sekali
jg,juga
gua,aku
selfie,foto
pake,menggunakan
cakep,bagus
ngewii,bagus
bening,bagus
bener,benar
selepas,selain
smooth,halus
gemay,bagus
yg,yang
item,hitam
purple,ungu
cakepp,bagus
naksirrrrr,menyukai
parahhh,sekali
bgt,sekali
quality,kualitas
bgttt,sekali
batrenya,baterai
gaada,tidak
obat,lawan
best,baik
bikin,membuat
nangis,suka
lucu,bagus
and,dan
iph,iphone
cakep,bagus
banget,sekali
besaaar,besar
kcuali,kecuali
cantiknya,bagus
market,pasar
butsbb,tetapi
first,perrtama
secantik,cantik
ip,iphone
gede,besar
simple,sederhana
bgus,bagus
clear,bersih
kek,seperti
announcer,pengumuman
emang,memang
cakep,bagus
lbh,lebih
dl,dulu
trs,kemudian
jd,jadi
krn,karena
mnrtku,menurutku
tp,tapi
bangke,jelek
sikit,sedikit
klo,kalau
ngecharge,charge
berkuasa,memiliki
cantik2,cantik
usernya,pengguna
batray,baterai
walaupon,walaupun
capasity,kapasitas
performance,penampilan
cepet,cepat
min,admin
book,mendaftar
duit,uang
korang,kamu
nak,ingin
for,untuk
parenting,pola asuh
mu,kamu
ang,kamu
me,saya
sa,saya
ng,tidak
moga,semoga
orisinal,original
ip,iphone
second,bekas
massage,pesan
sweet,manis
on,hidup
direct,langsung
kat,dengan
ccd,cacat
green,hijau
screen,layar
latest,terbaru
or,atau
mesti,pasti
kejap,lalu
pstu,kemudian
okay,ok
try,coba
solutions,solusi
mcm,jadi
mna,mana
ye,ya
knp,kenapa
blank,mati
dlm,dalam
lepas,setelah
lepastu,setelah
sblm,sebelum
padam,mati
apahal,padahal
tk,tidak
kayaaaaaa,kaya
bjingan,bajingan
menly,kasual
ga,tidak
tu,itu
mmeng,memang
capacity,kapasitas
sebenernya,sebenarnya
bangeett,sekali
worth,sebanding
lu,kamu
quick,cepat
batery,baterai
testing,percobaan
lavender,ungu
guna,untuk
terussss,terus
gak,tidak
crush,pasangan
sebab,karena
darpda,daripada
sya,saya
guna,pakai
kalo,kalau
compared,dibanding
conclusionnya,kesimpulan
naksir,tertarik
sampean,tercapai
bangeett,sekali
walopun,walau
god,bagus
vibes,suasana
support,mendukung
baterynya,baterai
down,turun
dadak,mendadak
kl,kalau
andro,android
update,perbarui
brp,berapa
ydh,yasudah
sdh,sudah
sptnya,sepertinya
skrng,sekarang
plss,mohon
ampooon,ampun
battre,baterai
dr,dari
blg,bicara
sokong,dukung
sm,dengan
kalo,kalau
udh,udah
ngewii,bagus
macam,seperti
tipu,bohong
ialah,adalah
conclusion,kesimpulam
lucuu,bagus
beliin,beli
ngeluarin,mengeluarkan
kesampean,terwujud
borahae,baru
bangeettt,sekali
melipir,pergi
gitu,begitu
nanya,tanya
wowowoowow,wow
mean,maksud
confuse,bingung
spec,spesifikasi
sbb,karena
matching,sesuai
better,lebih baik
adu,lawan
mentingin,lebih penting
mending,lebih baik
chipsetnya,chipset
cip,chipset
padu,seimbang
gemesh,bagus
salfok,salah fokus
caption,judul
app,aplikasi
pngn,ingin
bcs,karena
gives,memberi
alternative,alternatif
free,gratis
unexpected,tidak menyangka
universe,dunia
save,simpan
gt,begitu
casual,santai
phone,iphone
weird,aneh
meight,mungkin
since,sejak
edition,edisi
ngam,tidak
ketuker,tertukar
ama,sama
new,baru
guede,besar
hape,iphone
hp,iphone
bilangin,membicarakan
brrti,berarti
bosenin,membosankan
smpai,sampai
kot,kok
iyaaa,iya
memory,memori
hobby,suka
unnecessary,tidak penting
tks,terimakasih
batterynya,baterai
displaynya,layar
display,layar
medsos,media sosial
skrg,sekarang
apase,apa
jareku,suka
trus,lalu
blm,belum
dipake,digunakan
ngejar,raih
males,malas
skg,sekarang
bangett,sekali
user,pengguna
demen,suka
gonta,ganti
mcmtu,seperti
bnyak,banyak
cakeppp,bagus
mmg,memang
software,perangkat lunak
say,mengatakan
bangettt,sekali
guno,berguna
wowowoowow,wow
gapapa, tidak apa apa
